电影名,导演,编剧,演员,上映时间,片长,类型,评分
鹿先生 Mr.Deer,Mojtaba Mousavi,Mojtaba Mousavi,暂无演员信息,2018-04-28(芬兰),9分钟,剧情,7.4
毁灭战士 Doom,Andrzej Bartkowiak,"戴夫·卡拉汉姆,韦斯利·斯崔克","道恩·强森,卡尔·厄本,裴淳华",2005-10-20,100 分钟,动作,6.1
红辣椒 パプリカ,今敏,"水上清资,今敏,筒井康隆","林原惠美,江守彻,堀胜之祐,古谷彻,大塚明夫,山寺宏一,田中秀幸,兴梠里美,岩田光央,爱河里花子,川濑晶子,太田真一郎,福松进纱,胜杏里,宫下荣治,三户耕三,今敏,筒井康隆",2006-09-02(威尼斯电影节),90 分钟,科幻,9.0
卡特拉火山 Katla,巴塔萨·科马库,"Sigurjón Kjartansson,Lilja Sigurðardóttir,Davíð Már Stefánsson",暂无演员信息,2020(美国),暂无电影时长,奇幻,暂无电影评分
沉默的羔羊 The Silence of the Lambs,乔纳森·戴米,"托马斯·哈里斯,泰德·塔里","朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,安东尼·希尔德,布鲁克·史密斯,卡斯·莱蒙斯,弗兰基·费森,泰德·拉文,崔西·沃特,丹·巴特勒,达拉",1991-02-14(美国),118分钟,剧情,8.8
歌声不绝 Song to Song,泰伦斯·马力克,泰伦斯·马力克,"瑞恩·高斯林,鲁妮·玛拉,迈克尔·法斯宾德,娜塔莉·波特曼,凯特·布兰切特,霍利·亨特,贝纳尼丝·玛尔洛,方·基默,莉琦·李,奥利维亚·格雷斯·阿普尔盖特,戴娜·福尔肯伯里,琳达·伊蒙,洛安娜·斯蒂芬斯,克里斯汀·索耶·戴维斯,汤姆·斯图里奇,奥斯丁·阿梅里奥,伊基·波普,帕蒂·史密斯,约翰·莱顿,弗洛伦丝·威尔奇",2017-03-10(西南偏南电影节),129分钟,剧情,5.6
青春芒果夜,李宇春,暂无编剧信息,"李宇春,朱一龙,钟欣潼,陈立农,张云龙,SNH48,杨迪,马伯骞,何炅,张若昀,马可,陈楚生,汪苏泷,郑业成,张杰,林更新,大张伟,许晓诺,曾轶可,包贝尔,丁宁",2018-08-04(中国大陆),暂无电影时长,音乐,暂无电影评分
甜姐儿 Funny Face,斯坦利·多南,伦纳德·杰西,"弗雷德·阿斯泰尔,奥黛丽·赫本,凯·汤普森",1957-02-13,103 分钟,喜剧,7.5
大宋少年志,伊峥,"王倦,潘晓晨,吴峥,李喆,黄剑东","张新成,周雨彤,郑伟,王佑硕,禾浩辰,苏晓彤",2019-06-03(中国大陆),暂无电影时长,悬疑,8.2
歌舞大王齐格飞 The Great Ziegfeld,罗伯特·Z·伦纳德,威廉·安东尼·麦圭尔,"威廉·鲍威尔,玛娜·洛伊,路易丝·赖纳,弗兰克·摩根",1936-04-08,176 分钟,剧情,7.5
冰川时代4 Ice Age: Continental Drift,麦克·特米尔,"迈克尔·伯格 ,贾森·福克斯,迈克·里斯","阿兹·安萨里,乔·贝哈,克里斯托弗·坎贝尔,阿兰·夏巴,伊丝特尔·迪恩,彼特·丁拉基,奥布里·德雷克·葛莱汉姆,杰森·弗里基奥内,卡洛斯·沙尔丹哈,尼克·弗罗斯特,乔什·加德,约翰·雷吉扎莫,克里斯·韦奇",2012-07-27(中国大陆),88分钟,喜剧,8.1
龙之战,高峰,"邢原平,陈文贵","刘佩琦,曹云金,罗昱焜,李子雄",2017-08-04(中国大陆),112分钟,动作,6.4
素媛 소원,李濬益,"金智慧,赵重勋,金成旭","薛景求,严志媛,李来,金海淑,金相浩,罗美兰,杨真诚,权泰元",2013-10-02(韩国),122分钟,剧情,9.2
聊斋奇女子,李国立,"王莉,汤汤,欧根,威廉,力高","吴奇隆,范文芳,陈晓东,孙莉,瞿颖,牛犇,苗海忠,何贵林,过齐鸣,陈娜,刘诗诗,唐宸禹,李倩,曹曦文,林家宇,何建泽,岳跃,韩晓",2007-07-17(中国大陆),暂无电影时长,剧情,7.8
一个国家的诞生 The Birth of a Nation,大卫·格里菲斯,"大卫·格里菲斯,Frank E. Woods,Thomas F. Dixon Jr.","丽莲·吉许,梅·马什,亨利·B·沃斯奥",1915-02-08(美国),190 分钟(16 fps),剧情,7.9
魔法少女爱 魔法少女アイ（まほうしょうじょアイ）,敷岛博英,村上恒一（1～4卷）/竹内光（2卷）/香月ルナ（5卷）,"阿谷ほのか,梅干丸梦千代",2003-08-25,暂无电影时长,动作,7.9
原生之罪 第一季,叶伟民,蒋峰,"翟天临,尹正,白冰,颜卓灵,李若宁",2018-12-20(中国大陆),暂无电影时长,悬疑,6.3
G20风云,暂无导演信息,暂无编剧信息,暂无演员信息,暂无上映时间,暂无电影时长,剧情,暂无电影评分
人妻担任教师1,加藤文彦,"冴岛奈绪,野本美穗","冴岛奈绪,野本美穗",2006,暂无电影时长,情色,暂无电影评分
独行侠 The Lone Ranger,戈尔·维宾斯基,"贾斯汀·海瑟,泰德·艾略特,特里·鲁西奥","约翰尼·德普,艾米·汉莫,海伦娜·伯翰·卡特,巴里·佩珀,威廉·菲克纳,詹姆斯·戴尔,詹姆斯·弗莱恩,露丝·威尔森,W·厄尔·布朗,汤姆·威尔金森,曼森·库克",2013-10-05(中国大陆),149分钟,动作,7.0
日落黄沙 The Wild Bunch,萨姆·佩金帕,"沃伦·格林,萨姆·佩金帕","威廉·霍尔登,欧内斯特·博格宁,罗伯特·瑞安,艾德蒙·奥布莱恩,沃伦·奥茨",1969-06-18,144分钟,动作,8.3
末日之城,吴志镜,"李佳瑶,邵琳","阿宅,石头",2014-12-19(中国大陆),6分钟,剧情,暂无电影评分
摇滚藏獒,艾什·布兰农,"郑钧,艾什·布兰农,库尔特·沃尔克","郭麒麟,路知行,郭德纲,于谦,孙越,张雪凌,朱云峰,郑钧,冯小刚,刘芸,郑熙岳,小小岳",2016-07-08(中国大陆),93分钟,动画,6.9
早死早投胎之地狱摇滚篇 TOO YOUNG TO DIE！ 若くして死ぬ,宫藤官九郎,宫藤官九郎,"长濑智也,神木隆之介,荒川良良,古田新太,古馆宽治,桐谷健太,皆川猿时,宫泽理惠,森川葵,尾野真千子,坂井真纪,清野菜名,宍户佑名",2016-06-25(日本),125分钟,喜剧,7.8
惊天魔盗团2 Now You See Me 2,朱浩伟,"艾德·索罗门,彼得·基亚雷利,鲍兹·亚金,爱德华·里科","杰西·艾森伯格,马克·鲁弗洛,伍迪·哈里森,戴夫·弗兰科,丹尼尔·雷德克里夫,丽兹·卡潘,周杰伦,桑娜·莱瑟,迈克尔·凯恩,摩根·弗里曼,大卫·沃肖夫斯基,周采芹,理查德·莱恩,亨利·劳埃德-休斯",2016-06-24(中国大陆),130分钟,剧情,6.8
雪路 눈길,李娜静,刘宝拉,"金香起,金赛纶,张荣男,徐荣柱,金英玉",2015-02-28(电视版),122分钟,剧情,8.3
城市广场 Ágora,亚历杭德罗·阿梅纳瓦尔,"亚历杭德罗·阿梅纳瓦尔,马特奥·希尔","蕾切尔·薇兹,麦克思·明格拉,奥斯卡·伊萨克,阿什拉弗·格尼姆,鲁珀特·伊文斯",2009-10-09,127 分钟,剧情,8.1
地狱神枪手 Il grande duello,Giancarlo Santi,Ernesto Gastaldi,"Lee Van Cleef,Horst Frank",1972-12-29,98 分钟,西部,7.2
超人总动员 The Incredibles,布拉德·伯德,布拉德·伯德,"格雷格·T·尼尔森,霍利·亨特,塞缪尔·杰克逊,杰森·李,泰迪·牛顿,华莱士·肖恩",2005-01-28(中国大陆),115分钟,喜剧,8.1
舞女 La Danseuse,斯蒂芬妮·狄·朱斯托,"托马斯·彼得葛恩,斯蒂芬妮·狄·朱斯托,乔万尼·里斯塔,莎拉·蒂博","斯蒂芬妮·索科琳斯基,加斯帕德·尤利尔,梅兰尼·蒂埃里,莉莉-罗丝·德普,弗朗索瓦·达密安,路易多·德·朗克桑,阿曼达·普拉莫,德尼·梅诺谢,戴维·鲍尔斯,弗兰斯·博耶,詹姆斯·弗林,威廉·休斯顿",2016-05-13(戛纳电影节),108分钟,剧情,7.4
浪漫的体质 멜로가 체질,李炳宪,李炳宪,"千禹熙,全汝彬,韩智恩,安宰弘,孔明",2019-08-09(韩国),暂无电影时长,喜剧,9.2
华丽之后 DIVA華麗之後,麦曦茵,麦曦茵,"容祖儿,胡歌,杜汶泽,林欣彤,陈家乐,刘浩龙,冼色丽",2012-08-16(中国香港/中国大陆),102分钟,爱情,5.8
疑犯追踪 第二季 Person of Interest Season 2,大卫·塞梅尔,乔纳森·诺兰,"迈克尔·爱默生,吉姆·卡维泽,塔拉吉·P·汉森,莎拉·夏希,艾米·阿克,凯文·查普曼",2012-09-27,暂无电影时长,剧情,9.5
老友记  第三季 Friends Season 3,Gail Mancuso,"大卫·克拉尼,玛尔塔·考夫曼","詹妮弗·安妮斯顿,柯特妮·考克斯,丽莎·库卓,马特·勒布朗,马修·派瑞,大卫·休默",1996-09-16(美国),暂无电影时长,喜剧,9.7
一曲倾情 Song One,凯特·巴克佛洛兰,凯特·巴克佛洛兰,"安妮·海瑟薇,玛丽·斯汀伯根,强尼·弗林,戈登·格里克,本·罗森菲尔德,Crystal Lonneberg,Li Jun Li,肖恩·帕森,Katrina E. Perkins,Al Thompson,Stefano Villabona,Jessamine Kelley,Alan Davis,Justin Arnold,Walter DeForest",2014-01-20(圣丹斯电影节),86分钟,剧情,5.8
麦昆 McQueen,伊恩·邦霍特,皮特·艾德盖,"亚历山大·麦昆,伊莎贝拉·布罗,玛德莲娜·弗莱克维亚,裘蒂·洁德,凯特·莫斯,娜奥米·坎贝尔,葛蕾丝·琼斯,查理·罗斯",2018-06-08(英国),111分钟,纪录片,8.6
杀掉那个爱尔兰人 Kill the Irishman,乔纳森·汉斯雷,"乔纳森·汉斯雷,查德·洛,Jeremy Walters","雷·史蒂文森,克里斯托弗·沃肯,文森特·多诺费奥,方·基默,维尼·琼斯,琳达·卡德里尼,劳拉·莱姆希,鲍勃·冈顿",2011-03-11(美国),106分钟,剧情,7.5
巴啦啦小魔仙,陈克文,林杰利,"廖景萱,孙圳,黄安仪",2008-04-12(中国大陆),暂无电影时长,儿童,6.3
胜者即是正义 2014SP リーガルハイ・スペシャル,石川淳一,古泽良太,"堺雅人,新垣结衣,生濑胜久,小池荣子,大森南朋,吉濑美智子,刚力彩芽,东出昌大,古谷一行,雾岛丽香,和冉千秋",2014-11-22(日本),107分钟,剧情,8.6
刺心 Un couteau dans le cœur,扬·冈扎乐兹,"扬·冈扎乐兹,克里斯蒂亚诺·曼吉尼","凡妮莎·帕拉迪丝,凯特·莫兰,尼古拉·莫里,乔纳森·日奈,哈立德·俄卢阿什,费利克斯·马利陶德,贝特朗·芒蒂格,彼埃尔·皮罗尔,罗曼娜·波琳热,埃琳娜·勒文松,亚纳·柯勒特,雅各·诺勒,弗洛伦斯·焦尔杰蒂,娜塔莉·理查德",2018-05-17(戛纳电影节),102分钟,剧情,6.7
神秘博士1996电影版 Doctor Who: The Movie,杰弗里·萨克斯,"马修·雅各布斯,Sydney Newman","保罗·麦甘恩,埃里克·罗伯茨,达芙妮·阿斯布鲁克",1996-05-12,89分钟,剧情,6.9
中华英雄,李连杰,"捷尔戈,施扬平","李连杰,赵尔康,宋佳,Kurt Roland Petersson,Paulo Tocha",1986-02-16(中国香港),92分钟,动作,6.3
2020江苏卫视跨年演唱会,陈伟霆,暂无编剧信息,"陈伟霆,孙燕姿,邓紫棋,朴树,谭维维,谢霆锋,张韶涵,周华健,张杰,潘玮柏,王力宏,蔡徐坤,张纯烨,李宇春,李好,薛之谦,宝石Gem,冯提莫,欧阳娜娜,杨和苏,刘维,李响",2019-12-31(中国大陆),暂无电影时长,歌舞,7.3
陈情令之生魂,裘仲维,吕萍,"于斌,郑繁星,王一菲,高寒,何龙龙,林新宇,李向阳,彭博,秦明,罗宁,李航,张熙唯,张立秋,童继民,郭建伟,王春宝,王永新,李佳勋,张籽涵,王德华,任小丽,王华,杨盛枫,路文博,顾宝丰,杨朝伟",2019-11-07(中国大陆),84分钟,奇幻,4.5
小猪佩奇过大年,张大鹏,"郝铭,张大鹏,柳青伶,内维尔·阿斯特利,马克·贝克,玛蒂尔达·崔斯特瑞姆","朱亚文,刘芸,归亚蕾,方青卓,李大光,常蓝天,王圣迪,单禹豪,陈奕雯,张安琪,符冲,范楚绒,姜玉玲,周一菡,孙晔,贾邱",2019-02-05(中国大陆),81分钟,动画,4.0
冼夫人之浩气英风,穆龙,"穆龙,尚珂","李明启,计春华,苏丹,吴迪",2017-11-24(中国大陆),120分钟,剧情,暂无电影评分
疾速备战 John Wick: Chapter 3 - Parabellum,查德·斯塔赫斯基,"德里克·科尔斯塔,谢伊·哈顿,克里斯·柯林斯,马克·艾布拉姆斯","基努·里维斯,哈莉·贝瑞,劳伦斯·菲什伯恩,安杰丽卡·休斯顿,伊恩·麦柯肖恩,马克·达卡斯考斯,艾莎·凯特·狄龙,兰斯·莱迪克,萨伊德·塔格马奥,杰罗姆·弗林,杰森·曼楚克斯,托拜厄斯·西格尔,博班·马里亚诺维奇,罗宾·泰勒,罗比·德拉费勒,费斯·洛根,雅彦·鲁伊安,兰德尔·杜克·金,袁之正,陈虎,安东尼·帕迪利亚,斯特凡尼娅·马卡洛娃,西尔维奥·西马克,马米·科西科,罗曼·米蒂齐扬,塞塞普·阿里夫·拉赫曼,安妮·比萨比亚,约翰·盖蒂尔",2019-05-17(美国),131分钟,动作,7.8
致命龙卷风 F6: Twister,Peter Sullivan,"Casper Van Dien,Richard Burgi,Victoria Pratt","Casper Van Dien,Richard Burgi,Victoria Pratt",2012,暂无电影时长,灾难,暂无电影评分
萧十一郎,黎文彦,陈曼玲,"吴奇隆,朱茵,于波,马雅舒,万弘杰,刘思彤,张晋,李倩,郑毓芝,于震",2002-06-10(中国大陆),暂无电影时长,剧情,7.4
2013年中央电视台春节联欢晚会,哈文,"朱军,李咏,董卿,毕福剑,撒贝宁,李思思","朱军,李咏,董卿,毕福剑,撒贝宁,李思思",2013-02-09,暂无电影时长,音乐,5.7
奇门遁甲 奇門遁甲,袁和平,"袁祥仁,袁和平,赵中兴,袁信义,袁振洋","袁日初,梁家仁,袁祥仁,袁振洋,高雄,袁信义",1982-07-23,101分钟,喜剧,7.9
寻找梦幻岛 Finding Neverland,马克·福斯特,"Allan Knee,David Magee","约翰尼·德普,凯特·温丝莱特,达斯汀·霍夫曼,弗莱迪·海默,朱莉·克里斯蒂,拉达·米切尔,伊恩·哈特,凯特·马伯里,凯莉·麦克唐纳,麦肯锡·克鲁克,托比·琼斯",2004-09-04(威尼斯电影节),106分钟,剧情,7.8
恋恋师情 Loving Annabelle,凯瑟琳·布鲁克斯,"Olivia Bohnhoff,凯瑟琳·布鲁克斯","Diane Gaidry,埃琳·凯莉,劳拉·布雷肯里奇,Jennie Floyd",2006-03-08,77分钟,剧情,6.9
机械师2：复活 Mechanic: Resurrection,丹尼斯·甘塞尔,"菲利普·谢尔比,托尼·莫舍","杰森·斯坦森,杰西卡·阿尔芭,汤米·李·琼斯,杨紫琼,山姆·哈兹尔丁,约翰·塞纳迭姆博,托比·艾丁顿,费米·依鲁福祖,安提欧·昆塔瓦莱,芮塔·彭安,邦妮·泽勒巴克,斯图尔特·索普,艾利克斯·库则力科,布拉汉姆·艾克巴赫,托马斯·科维",2016-10-21(中国大陆),98分钟(美国),动作,5.6
遇见你之前 Me Before You,西娅·夏罗克,"斯科特·纽斯塔德,迈克尔·H·韦伯,乔乔·莫伊斯","艾米莉亚·克拉克,山姆·克拉弗林,珍妮·麦克蒂尔,查尔斯·丹斯,布兰登·柯伊尔,珍娜·科尔曼,马修·刘易斯,本·劳埃德-休斯,凡妮莎·柯比,斯蒂芬·皮科克,马修·约翰·摩尔利,汉娜·弗林",2016-06-03(美国),110分钟,剧情,7.9
怪兽 Monsters,Daniel Fajemisin-Duncan,暂无编剧信息,暂无演员信息,暂无上映时间,暂无电影时长,科幻,暂无电影评分
EXO showcase,朴灿烈,暂无编剧信息,"朴灿烈,边伯贤,金俊勉,金钟大,金钟仁,张艺兴,金珉锡,吴世勋",2012-04-08,暂无电影时长,音乐,9.2
七龙珠 Dragonball Evolution,黄毅瑜,Ben Ramsey,"贾斯汀·查特文,詹姆斯·马斯特斯,杰米·钟,周润发,埃米·罗森,朴俊亨,田村英里子",2009-03-12(中国香港),85 分钟,动作,3.7
西部和苏打 West and Soda,Bruno Bozzetto,布鲁诺·伯茨多 Bruno Bozzetto,暂无演员信息,1965-10-01,86分钟,喜剧,7.2
我的恐怖妻子 僕のヤバイ妻,三宅喜重,黑岩勉,"伊藤英明,木村佳乃,相武纱季,宫迫博之,佐佐木藏之介,真岛秀和,木村绿子,高桥一生,佐藤隆太,浅香航大,游井亮子,梅泽昌代,小园凌央",2016-04-19(日本),暂无电影时长,剧情,9.1
恶人传 악인전,李元泰,李元泰,"马东锡,金武烈,金成圭,刘承睦,崔民哲,金胤成,许栋元,吴熙俊,杨志洙,金洁,李恩泉,刘在明",2019-05-15(韩国),109分钟,剧情,7.7
修女也疯狂2 Sister Act 2: Back in the Habit,比尔·杜克,"Joseph Howard,詹姆斯·奥尔,吉姆·克鲁克香克,Judi Ann Mason","乌比·戈德堡,凯茜·纳基麦,巴纳德·休斯,玛丽·威克斯,詹姆斯·柯本",1993-12-10(美国),107 分钟,喜剧,7.4
末日孤舰 第一季 The Last Ship Season 1,乔纳森·莫斯托,"史蒂芬·凯恩,汉克·斯坦伯格","埃里克·迪恩,亚当·鲍德温,特拉维斯·范·文克,玛丽莎·奈琳,约克·西姆斯,马克斯米利亚诺·赫尔南德斯,约翰·派珀-弗格森,罗娜·迈特拉,布伦·福斯特,克里斯·谢菲尔德,马克·摩斯,查尔斯·帕内尔,费伊·马斯特森,奈斯鲍提斯塔,Andy T. Tran,拉维尔·伊斯亚诺夫",2014-06-22(美国),暂无电影时长,剧情,7.8
荒野大镖客：救赎 Red Dead:Redemption,Rockstar,"Dan Houser,Christian Cantamessa","Rob Wiethoff,Stephen Snedden,Kharrison Sweeney",2010,暂无电影时长,动作,8.7
最后一滴水 The Last Drop of Water,D.W. Griffith,"布雷特·哈特,施坦纳·泰勒","布兰彻·斯薇特,Charles West,罗伯特·哈伦,戴尔·亨德森,Alfred Paget,Francis J. Grandon,W. Chrystie Miller,简妮·麦克弗森,Joseph Graybill,William Butler,Linda Arvidson,凯特·布鲁斯,John T. Dillon,格拉迪斯·伊根,Guy Hedlund",1911,暂无电影时长,短片,暂无电影评分
理科生坠入情网故尝试证明 理系が恋に落ちたので証明してみた。,喜多幡彻,"横手美智子,池田临太郎","内田雄马,雨宫天,原奈津子,大森日雅,福岛润,置鲇龙太郎,麻仓桃",2020-01-10(日本),暂无电影时长,喜剧,8.0
杀手阿一 殺し屋1,三池崇史,"佐藤佐吉,山本英夫","浅野忠信,大森南朋,冢本晋也,孙佳君,寺岛进,菅田俊,手塚通,有园芳记,涩川清彦,松尾铃木,国村隼,萨布,茂吕师冈,木下邦家,小林宏至,后藤麻衣,森下能幸,风祭由纪,佐藤佐吉,迫英雄",2001-09-14(多伦多电影节),129分钟,剧情,7.4
穿制服的女孩 Mädchen in Uniform,列昂蒂内·萨冈,"Christa Winsloe,Friedrich Dammann","赫塔·提勒,多萝西·维克,Emilia Unda,Gertrud de Lalsky,Hedwig Schlichter,Erika Mann,Else Ehser,Ellen Schwanneke,Charlotte Witthauer",1931-11-27,88 分钟,剧情,8.2
伟大的卫国战争 第一季 Великая война,Anna Grazhdan,"Artem Drabkin,Aleksey Isaev","阿道夫·希特勒,约瑟夫·斯大林,格奥尔吉·康斯坦丁诺维奇·朱可夫",暂无上映时间,暂无电影时长,纪录片,9.2
星际传奇2 The Chronicles of Riddick,大卫·杜西,大卫·杜西,"范·迪塞尔,科鲁姆·费奥瑞,坦迪·牛顿,朱迪·丹奇,卡尔·厄本,艾莉克莎·黛瓦洛斯,莱纳斯·罗彻,约里克·范·韦杰宁根,尼克·齐兰德,凯斯·大卫,Mark Gibbon,罗杰·R.克劳斯,特瑞·陈,克里斯蒂娜·考克斯,Nigel Vonas",2004-06-11,119分钟,动作,6.9
一刀倾城 一刀傾城,洪金宝,"张炭,司徒卓汉","狄龙,杨凡,杨丽菁,关之琳,赵长军,洪金宝,黄锦江,邹兆龙,刘洵",1993-07-15,103分钟,动作,7.8
法外狂徒 Ned Kelly,Tony Richardson,"Ian Jones,托尼·理查德森","Mick Jagger,Clarissa Kaye-Mason,Mark McManus",1970-10-07,Germany: 99 分钟,动作,暂无电影评分
白发魔女传 白髮魔女傳,于仁泰,"胡大为,于仁泰,邓碧燕,林纪陶,梁羽生","张国荣,林青霞,吴镇宇,吕少玲,蓝洁瑛,罗乐林,鲍方,高雄",1993-08-26(中国香港),89分钟,动作,7.7
Cowboys: High Noon,菲尔·马洛伊,暂无编剧信息,暂无演员信息,暂无上映时间,暂无电影时长,喜剧,6.9
煎饼侠,大鹏,"大鹏,苏彪","大鹏,袁姗姗,柳岩,吴君如,曾志伟,岳云鹏,衣云鹤,梁超,潘斌龙,崔志佳,乔杉,郭采洁,邓超,尚格·云顿,小沈阳,宋小宝,刘小光,王小利,陈思诚,林更新,陈羽凡,胡海泉,韩寒,陈赫,郑恺,包贝尔,郑伊健,陈小春,谢天华,林晓峰",2015-07-17(中国大陆),113分钟,喜剧,5.8
亲爱的新年好,彭宥纶,丁丁张,"白百何,张子枫,魏大勋,许娣,李建义,吕星辰,袁文康,温升豪,海一天,刘畅,吕聿来,赵子琪,吴昊宸,白举纲,赵天宇,赵阳",2019-12-31(中国大陆),110分钟,剧情,5.7
燃烧蓝 Burning Blue,D.M.W.格里尔,"D.M.W.格里尔,海琳·柯费尔","特伦特·福特,坦米·布兰查德,摩根·斯佩克特,罗勃·梅耶斯,威廉姆·李·斯科特,科特·史密斯,迈克尔·昆普斯蒂,哈维兰·莫里斯,迈克尔·希罗,马克·多赫蒂",2013-06-20,96分钟,剧情,7.7
阳光地狱之人肉市场 陽光地獄之人肉市場,陈奥图,"陈奥图,罗志强","陈国邦,白石千,杨玉梅,陆剑青",1995-12-09(中国香港),78分钟,恐怖,4.6
机智牢房生活 슬기로운 감빵생활,申源浩,郑宝勋,"朴海秀,郑京浩,郑秀晶,林华映,丁海寅,郑雄仁,金圣喆,李奎炯,郑敏圣,朴浩山,姜昇润,金景南,崔武成,崔胜元,成东日,金汉钟,周锡泰,姜基栋,朴亨洙,李道谦,申在河,廉惠兰,林哲亨,艺秀晶,李浩哲,刘在明,申隣雅,崔光一,张赫镇,金基楠,李太善,徐志焄",2017-11-22(韩国),暂无电影时长,剧情,9.4
